IDENTIFIERS,,,,NeuN Hippo Count,,,,NeuN Cor Count,,,,Iba1 Hippo Count,,,,Iba1 Cor Count,,,,GFAP Hippo Count,,,,GFAP Cor Count,,,
GENOTYPE,ID,AGE,SEX,Sec. 1,Sec. 2,Sec. 3,AVG,Sec. 1,Sec. 2,Sec. 3,AVG,Sec. 1,Sec. 2,Sec. 3,AVG,Sec. 1,Sec. 2,Sec. 3,AVG,Sec. 1,Sec. 2,Sec. 3,AVG,Sec. 1,Sec. 2,Sec. 3,AVG
16,63,12MO,M,2321,1590,1840,1917,1533,1899,1939,1790,873,662,815,783,135,258,210,201,1914,1435,1659,1669,9,9,17,12
16,61,12MO,M,5167,4075,5062,4768,2564,2498,2296,2453,1139,1016,1089,1081,253,202,229,228,2616,1879,2618,2371,25,16,13,18
16,36,12MO,M,4433,5024,5063,4840,1990,2275,2404,2223,1004,1416,1001,1140,196,257,245,233,3238,3352,2053,2881,39,17,31,29
16,75,12MO,F,4264,1087,1295,2215,1976,1547,1463,1662,1378,1208,1143,1243,731,223,174,376,2979,2251,2382,2537,54,30,15,33
16,76,12MO,F,2608,2569,1502,2226,2643,2290,2307,2413,744,713,606,688,224,215,233,224,953,1007,780,913,9,11,22,14
16,88,12MO,F,3102,2910,4143,3385,2214,2115,2194,2174,511,748,830,696,156,169,203,176,1020,1101,979,1033,10,9,7,9
16,89,12MO,F,2307,2412,3473,2731,2262,2589,2506,2452,657,656,635,649,185,169,150,168,711,792,693,732,12,12,7,10
16.SAA,221,12MO,M,5776,6047,6137,5987,2392,2399,1936,2242,1562,1423,1295,1427,332,297,107,245,2865,2563,2348,2592,311,305,100,239
16.SAA,42,12MO,M,3802,3285,4796,3961,2546,2378,2657,2527,1129,1067,1345,1180,383,408,456,416,2416,2057,2676,2383,549,456,400,468
16.SAA,36,12MO,M,6435,4813,5608,5619,2276,2313,2434,2341,1591,1343,1431,1455,337,335,286,319,3433,3113,3195,3247,396,384,335,372
16.SAA,34,12MO,M,5736,6077,6488,6100,1882,2174,2177,2078,1318,1272,1311,1300,185,129,86,133,2332,2584,2702,2539,186,137,103,142
16.SAA,49,12MO,F,4148,4991,N/A,4570,1995,1873,N/A,1934,858,1049,N/A,954,259,249,N/A,254,1627,2153,N/A,1890,250,312,N/A,281
16.SAA,47,12MO,F,6108,7064,6317,6496,1776,2104,2323,2068,1702,1952,1665,1773,239,317,285,280,2219,2427,2187,2278,260,389,509,386
16.SAA,23,12MO,F,5769,N/A,2872,4321,1648,N/A,1500,1574,1166,N/A,917,1042,158,N/A,135,147,1997,N/A,1406,1702,272,N/A,200,236
16.SAA,46,12MO,F,5382,5682,4449,5171,2251,2064,2275,2197,1270,1390,1154,1271,160,206,290,219,2521,3068,2710,2766,194,266,492,317
N279K,133,12MO,M,2730,1521,2279,2177,2239,2071,2044,2118,1282,1077,1152,1170,279,278,213,257,2433,2268,2358,2353,44,58,42,48
N279K,104,12MO,M,2585,N/A,4561,3573,1854,N/A,1464,1659,1288,N/A,1214,1251,228,N/A,146,187,3820,N/A,3029,3425,27,N/A,28,28
N279K,105,12MO,M,N/A,2684,4671,3678,N/A,2330,2206,2268,N/A,1216,1349,1283,N/A,391,382,387,N/A,3198,3723,3461,N/A,27,47,37
N279K,128,12MO,M,N/A,3107,5283,4195,N/A,2135,2650,2393,N/A,1140,1551,1346,N/A,200,334,267,N/A,3285,3833,3559,N/A,24,87,56
N279K,92,12MO,F,1742,1926,2098,1922,1711,1713,1715,1713,1270,1237,1093,1200,267,269,170,235,3648,3210,2949,3269,64,64,34,54
N279K,130,12MO,F,N/A,2294,3187,2741,N/A,1931,1931,1931,N/A,1110,1223,1167,N/A,270,280,275,N/A,3016,3486,3251,N/A,101,98,100
N279K,131,12MO,F,1655,1698,1971,1775,2079,1743,2122,1981,1026,1263,1121,1137,340,439,425,401,2747,3036,2880,2888,39,26,27,31
N279K,180,12MO,F,4120,2957,2285,3121,1802,1805,1714,1774,1295,1003,899,1066,230,171,153,185,3198,2109,1824,2377,58,35,32,42
N279K.SAA,228,12MO,M,931,1104,1814,1283,1751,1795,1795,1780,810,937,1277,1008,327,249,290,289,3154,3478,4820,3817,821,731,771,774
N279K.SAA,191,12MO,M,2823,2787,2821,2810,1771,1935,2095,1934,1652,1670,1644,1655,336,371,387,365,5643,5737,5300,5560,968,894,883,915
N279K.SAA,190,12MO,M,2335,1754,2409,2166,1779,1578,2016,1791,1779,1564,1546,1630,407,346,416,390,4895,4213,4417,4508,917,695,1060,891
N279K.SAA,174,12MO,M,5468,5298,5446,5404,2281,2087,1929,2099,1761,1928,1958,1882,365,403,441,403,5448,5793,5911,5717,867,926,925,906
N279K.SAA,180,12MO,F,2004,1648,2883,2178,1547,1715,1470,1577,1505,1273,1559,1446,301,321,294,305,4539,3834,4601,4325,820,833,720,791
N279K.SAA,179,12MO,F,1385,1959,1519,1621,1465,1350,1447,1421,1211,1147,917,1092,261,183,197,214,3901,3481,2345,3242,548,365,407,440
N279K.SAA,171,12MO,F,5585,2547,2423,3518,1867,1656,1869,1797,1577,1777,1015,1456,168,375,238,260,3946,5671,3429,4349,330,844,548,574
N279K.SAA,211,12MO,F,2704,2753,2698,2718,1977,1906,1794,1892,1836,1730,1391,1652,307,227,217,250,4612,3896,3093,3867,656,461,499,539
